"symbol","owner","relationship","date","cost","# shares","value($)","total shares","filing","type","currentprice","movingaverage"
"SPWR","TOTAL S.A.","Director","""Apr 20",,"6","82932","527132","87923195","""Apr 22"," 2020"," 06:34 PM"""
"TREC","Quarles Patrick D.","President and CEO","""Apr 22",,"5","5810","31374","208067","""Apr 22"," 2020"," 05:18 PM"""
"ECC","Malik Nauman S.","CCO","""Apr 22",,"6","1500","9375","1500","""Apr 22"," 2020"," 04:55 PM"""
"EIC","Malik Nauman S.","CCO","""Apr 22",,"9","1250","11588","1250","""Apr 22"," 2020"," 04:52 PM"""
"HQI","Hermanns Richard","President and CEO","""Apr 21",,"6","2500","15500","5856190","""Apr 22"," 2020"," 04:44 PM"""
"HQI","Hermanns Richard","President and CEO","""Apr 20",,"6","2500","16221","5853690","""Apr 22"," 2020"," 04:44 PM"""
"HQI","JACKSON EDWARD","Director","""Apr 21",,"6","1633","10711","2544427","""Apr 22"," 2020"," 04:42 PM"""
"EIC","Onorio Kenneth P.","CFO/COO","""Apr 22",,"9","500","4575","3916","""Apr 22"," 2020"," 04:42 PM"""
"EIC","Onorio Kenneth P.","CFO/COO","""Apr 21",,"9","500","4795","3416","""Apr 22"," 2020"," 04:42 PM"""
"GRPN","Leonsis Theodore","Director","""Apr 20",,"0","1000000","950000","2629996","""Apr 22"," 2020"," 04:36 PM"""
"ECC","Onorio Kenneth P.","CFO/COO","""Apr 21",,"5","2000","11920","27394","""Apr 22"," 2020"," 04:35 PM"""
"DRIO","STERN ADAM K","Director","""Apr 20",,"6","639","4256","14993","""Apr 22"," 2020"," 04:29 PM"""
"VOLT","Schultz Lori","Chief Global Solutions Officer","""Apr 22",,"0","6450","4902","14918","""Apr 22"," 2020"," 04:10 PM"""
"AXDX","SCHULER JACK W","Director","""Apr 20",,"9","59357","557956","14361285","""Apr 22"," 2020"," 03:17 PM"""
"MACK","Levy Noah G.","Director","""Apr 21",,"3","1424","4628","693014","""Apr 22"," 2020"," 02:30 PM"""
"MACK","Levy Noah G.","Director","""Apr 20",,"3","2325","7556","692181","""Apr 22"," 2020"," 02:30 PM"""
"MACK","Andersen Eric","Director","""Apr 20",,"3","2325","7556","691344","""Apr 22"," 2020"," 02:27 PM"""
"MACK","Andersen Eric","Director","""Apr 21",,"3","1424","4628","692768","""Apr 22"," 2020"," 02:27 PM"""
"GDL","CONN JAMES P","Director","""Apr 20",,"7","1000","7910","2000","""Apr 22"," 2020"," 02:26 PM"""
"VOLT","MUELLER HERBERT M","SVP & Chief Financial Officer","""Apr 22",,"0","10000","7288","12000","""Apr 22"," 2020"," 01:58 PM"""
"VOLT","PERNEAU LINDA","President and CEO","""Apr 22",,"0","10000","7463","88541","""Apr 22"," 2020"," 01:52 PM"""
"IMBI","Lalo Eyal","Director","""Apr 17",,"2","691070","1411510","1091070","""Apr 21"," 2020"," 08:51 PM"""
"IMBI","Friedman Michael","Director","""Apr 17",,"2","651444","1344059","911045","""Apr 21"," 2020"," 08:49 PM"""
"TGEN","Benjamin Locke M.","CEO","""Apr 21",,"1","2000","2040","5418","""Apr 21"," 2020"," 07:23 PM"""
"LWAY","SMOLYANSKY JULIE","President and CEO","""Apr 20",,"2","300","648","2516","""Apr 21"," 2020"," 06:31 PM"""
"LWAY","SMOLYANSKY JULIE","President and CEO","""Apr 17",,"2","1600","3561","1827051","""Apr 21"," 2020"," 06:31 PM"""
"ICMB","Investcorp BDC Holdings Ltd","10% Owner","""Apr 20",,"4","2700","12759","462108","""Apr 21"," 2020"," 05:47 PM"""
"ICMB","Investcorp BDC Holdings Ltd","10% Owner","""Apr 17",,"4","3080","14555","459408","""Apr 21"," 2020"," 05:47 PM"""
"ICMB","Investcorp BDC Holdings Ltd","10% Owner","""Apr 21",,"4","1815","7950","463923","""Apr 21"," 2020"," 05:47 PM"""
"TREC","Quarles Patrick D.","President and CEO","""Apr 21",,"5","3224","17668","202257","""Apr 21"," 2020"," 05:13 PM"""
"DLPN","Dougiello Charles Joseph","Director","""Sep 09",,"0","830","796","308852","""Apr 21"," 2020"," 04:42 PM"""
"DLPN","Dougiello Charles Joseph","Director","""Sep 06",,"0","1170","1099","308022","""Apr 21"," 2020"," 04:42 PM"""
