"symbol","owner","relationship","date","cost","# shares","value($)","total shares","filing","type","currentprice","movingaverage"
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 17",,"1","671","902","22091","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 17",,"1","91465","123020","3010570","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 20",,"1","9490","12318","496005","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 21",,"1","829","988","66798","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 17",,"1","16109","21667","530238","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 20",,"1","2768","3593","144676","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 21",,"1","399","476","32165","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 17",,"1","15358","20657","505495","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 20",,"1","1294","1680","67627","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 21",,"1","266","317","21410","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 21",,"1","36224","43179","2917829","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 17",,"1","4479","6024","147444","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 20",,"1","623","809","32564","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 21",,"1","6380","7605","513904","""Apr 21"," 2020"," 09:49 PM"""
"ATEN","Reiss Gunter","VP Worldwide Marketing","""Apr 20",,"6","1201","7867","151225","""Apr 21"," 2020"," 07:21 PM"""
"RSSS","COOPER CHAD J.","Director","""Apr 21",,"3","2300","6900","301789","""Apr 21"," 2020"," 06:45 PM"""
"UPWK","Brown Hayden","President & CEO","""Apr 20",,"7","895","6908","341949","""Apr 21"," 2020"," 05:11 PM"""
"NBAC","NeoGenesis Holding Co. Ltd.","10% Owner","""Apr 20",,"0","100000","10","1545000","""Apr 21"," 2020"," 05:10 PM"""
"NBAC","Xiong Wenhui","Chief Executive Officer","""Apr 20",,"0","100000","10","1545000","""Apr 21"," 2020"," 05:09 PM"""
